s	o
https://cso.kmi.open.ac.uk/topics/decision_tables	http://www.wikidata.org/entity/Q747762
https://cso.kmi.open.ac.uk/topics/decision_table	http://www.wikidata.org/entity/Q747762
https://cso.kmi.open.ac.uk/topics/decision_tables	http://rdf.freebase.com/ns/m.027zbm
https://cso.kmi.open.ac.uk/topics/decision_table	http://rdf.freebase.com/ns/m.027zbm
https://cso.kmi.open.ac.uk/topics/decision_rule	http://dbpedia.org/resource/Decision_rule
https://cso.kmi.open.ac.uk/topics/decision_rule	http://www.wikidata.org/entity/Q5249245
https://cso.kmi.open.ac.uk/topics/decision_rule	http://rdf.freebase.com/ns/m.080hc6k
https://cso.kmi.open.ac.uk/topics/boolean_satisfiability	http://dbpedia.org/resource/Boolean_satisfiability_problem
https://cso.kmi.open.ac.uk/topics/sat-solving	http://dbpedia.org/resource/Boolean_satisfiability_problem
https://cso.kmi.open.ac.uk/topics/propositional_satisfiability	http://dbpedia.org/resource/Boolean_satisfiability_problem
https://cso.kmi.open.ac.uk/topics/boolean_satisfiability	http://www.wikidata.org/entity/Q875276
https://cso.kmi.open.ac.uk/topics/sat-solving	http://www.wikidata.org/entity/Q875276
https://cso.kmi.open.ac.uk/topics/propositional_satisfiability	http://www.wikidata.org/entity/Q875276
https://cso.kmi.open.ac.uk/topics/boolean_satisfiability	http://rdf.freebase.com/ns/m.01hmj
https://cso.kmi.open.ac.uk/topics/sat-solving	http://rdf.freebase.com/ns/m.01hmj
https://cso.kmi.open.ac.uk/topics/propositional_satisfiability	http://rdf.freebase.com/ns/m.01hmj
https://cso.kmi.open.ac.uk/topics/boolean_satisfiability	http://yago-knowledge.org/resource/One-in-three_3SAT
https://cso.kmi.open.ac.uk/topics/sat-solving	http://yago-knowledge.org/resource/One-in-three_3SAT
https://cso.kmi.open.ac.uk/topics/propositional_satisfiability	http://yago-knowledge.org/resource/One-in-three_3SAT
https://cso.kmi.open.ac.uk/topics/group_decision-making	http://dbpedia.org/resource/Group_decision-making
https://cso.kmi.open.ac.uk/topics/group_decision-making	http://www.wikidata.org/entity/Q388791
https://cso.kmi.open.ac.uk/topics/group_decision-making	http://rdf.freebase.com/ns/m.0407sw3
https://cso.kmi.open.ac.uk/topics/decision_model	http://dbpedia.org/resource/Decision_model
https://cso.kmi.open.ac.uk/topics/decision_model	http://www.wikidata.org/entity/Q5249242
https://cso.kmi.open.ac.uk/topics/decision_model	http://rdf.freebase.com/ns/m.04tz6z
https://cso.kmi.open.ac.uk/topics/computability_and_decidability	http://dbpedia.org/resource/Computability
